15.614,62.688,0,0,1
9.525499999999999,69.735,0,0,1
27.81,64.91200000000001,3.5,1,1
32.333,66.432,3.5,1,1
3.3004,67.592,7,2,1
32.393,76.19199999999999,0,0,1
23.172,80.265,0,0,1
42.883,76.593,0,0,1
46.58,84.303,0,0,1
49.255,78.968,0,0,1
43.12,70.851,3.5,1,1
42.883,76.593,3.5,1,1
49.045,78.905,3.5,1,1
50.692,76.104,3.5,1,1
43.406,75.96599999999999,7,2,1
35.23,19.752,0,0,1
24.61,20.702,0,0,1
53.43,25.182,1.75,0.5,1
39.4,21.462,3.5,1,1
39.53,25.492,5.25,1.5,1
21.2,20.962,7,2,1
48.85,1.642,0,0,1
62.57,19.792,0,0,1
76.16,13.002,0,0,1
65.7,12.532,0,0,1
70.45,17.892,3.5,1,1
76.16,13.002,3.5,1,1
63.19,25.192,7,2,1
72.63,17.552,7,2,1
8.15,15.78,0,0,1
15.614,62.688,0,0,1
9.525499999999999,69.735,0,0,1
27.81,64.91200000000001,3.5,1,1
32.333,66.432,3.5,1,1
3.3004,67.592,7,2,1
32.393,76.19199999999999,0,0,1
23.172,80.265,0,0,1
42.883,76.593,0,0,1
46.58,84.303,0,0,1
49.255,78.968,0,0,1
43.12,70.851,3.5,1,1
42.883,76.593,3.5,1,1
49.045,78.905,3.5,1,1
50.692,76.104,3.5,1,1
43.406,75.96599999999999,7,2,1
35.23,19.752,0,0,1
24.61,20.702,0,0,1
53.43,25.182,1.75,0.5,1
39.4,21.462,3.5,1,1
39.53,25.492,5.25,1.5,1
21.2,20.962,7,2,1
62.57,19.792,0,0,1
76.16,13.002,0,0,1
65.7,12.532,0,0,1
70.45,17.892,3.5,1,1
76.16,13.002,3.5,1,1
63.19,25.192,7,2,1
72.63,17.552,7,2,1
8.15,15.78,0,0,1
